port,packet_count,byte_count,packet_fraction,byte_fraction
3784,2265,132288,3.3763196613713264e-06,9.097187842089138e-07
3828,2265,132288,3.3763196613713264e-06,9.097187842089138e-07
3851,2265,132288,3.3763196613713264e-06,9.097187842089138e-07
3880,2265,132288,3.3763196613713264e-06,9.097187842089138e-07
3920,2265,132288,3.3763196613713264e-06,9.097187842089138e-07
4005,2265,132288,3.3763196613713264e-06,9.097187842089138e-07
4224,2265,132288,3.3763196613713264e-06,9.097187842089138e-07
4449,2265,132288,3.3763196613713264e-06,9.097187842089138e-07
5100,2265,132288,3.3763196613713264e-06,9.097187842089138e-07
137,2265,142896,3.3763196613713264e-06,9.826679319992513e-07
389,2264,133008,3.3748290125142088e-06,9.146700838326924e-07
636,2264,133008,3.3748290125142088e-06,9.146700838326924e-07
5550,2264,132240,3.3748290125142088e-06,9.093886975673285e-07
5678,2264,132240,3.3748290125142088e-06,9.093886975673285e-07
5811,2264,132240,3.3748290125142088e-06,9.093886975673285e-07
5815,2264,132240,3.3748290125142088e-06,9.093886975673285e-07
5902,2264,132240,3.3748290125142088e-06,9.093886975673285e-07
5910,2264,132240,3.3748290125142088e-06,9.093886975673285e-07
5915,2264,132240,3.3748290125142088e-06,9.093886975673285e-07
5959,2264,132240,3.3748290125142088e-06,9.093886975673285e-07
6004,2264,132240,3.3748290125142088e-06,9.093886975673285e-07
6005,2264,132240,3.3748290125142088e-06,9.093886975673285e-07
6009,2264,132240,3.3748290125142088e-06,9.093886975673285e-07
6502,2264,132240,3.3748290125142088e-06,9.093886975673285e-07
6666,2264,132240,3.3748290125142088e-06,9.093886975673285e-07
6839,2264,132240,3.3748290125142088e-06,9.093886975673285e-07
7100,2264,132240,3.3748290125142088e-06,9.093886975673285e-07
7911,2264,132240,3.3748290125142088e-06,9.093886975673285e-07
7921,2264,132240,3.3748290125142088e-06,9.093886975673285e-07
2811,2264,132252,3.3748290125142088e-06,9.094712192277248e-07
3030,2264,132228,3.3748290125142088e-06,9.093061759069322e-07
3077,2264,132228,3.3748290125142088e-06,9.093061759069322e-07
3128,2264,132228,3.3748290125142088e-06,9.093061759069322e-07
3211,2264,132228,3.3748290125142088e-06,9.093061759069322e-07
3260,2264,132228,3.3748290125142088e-06,9.093061759069322e-07
3268,2264,132228,3.3748290125142088e-06,9.093061759069322e-07
3323,2264,132228,3.3748290125142088e-06,9.093061759069322e-07
3371,2264,132228,3.3748290125142088e-06,9.093061759069322e-07
3814,2264,132228,3.3748290125142088e-06,9.093061759069322e-07
3869,2264,132228,3.3748290125142088e-06,9.093061759069322e-07
3945,2264,132228,3.3748290125142088e-06,9.093061759069322e-07
4004,2264,132228,3.3748290125142088e-06,9.093061759069322e-07
4242,2264,132228,3.3748290125142088e-06,9.093061759069322e-07
4848,2264,132228,3.3748290125142088e-06,9.093061759069322e-07
5002,2264,132228,3.3748290125142088e-06,9.093061759069322e-07
5003,2264,132228,3.3748290125142088e-06,9.093061759069322e-07
5009,2264,132228,3.3748290125142088e-06,9.093061759069322e-07
5050,2264,132228,3.3748290125142088e-06,9.093061759069322e-07
5214,2264,132228,3.3748290125142088e-06,9.093061759069322e-07
5221,2264,132228,3.3748290125142088e-06,9.093061759069322e-07
5222,2264,132228,3.3748290125142088e-06,9.093061759069322e-07
8007,2263,132192,3.373338363657091e-06,9.090586109257433e-07
5631,2263,132180,3.373338363657091e-06,9.08976089265347e-07
5679,2263,132180,3.373338363657091e-06,9.08976089265347e-07
5718,2263,132180,3.373338363657091e-06,9.08976089265347e-07
5903,2263,132180,3.373338363657091e-06,9.08976089265347e-07
5922,2263,132180,3.373338363657091e-06,9.08976089265347e-07
5925,2263,132180,3.373338363657091e-06,9.08976089265347e-07
6025,2263,132180,3.373338363657091e-06,9.08976089265347e-07
6129,2263,132180,3.373338363657091e-06,9.08976089265347e-07
6156,2263,132180,3.373338363657091e-06,9.08976089265347e-07
6547,2263,132180,3.373338363657091e-06,9.08976089265347e-07
6646,2263,132180,3.373338363657091e-06,9.08976089265347e-07
6699,2263,132180,3.373338363657091e-06,9.08976089265347e-07
6881,2263,132180,3.373338363657091e-06,9.08976089265347e-07
7000,2263,132180,3.373338363657091e-06,9.08976089265347e-07
7002,2263,132180,3.373338363657091e-06,9.08976089265347e-07
7007,2263,132180,3.373338363657091e-06,9.08976089265347e-07
7106,2263,132180,3.373338363657091e-06,9.08976089265347e-07
7201,2263,132180,3.373338363657091e-06,9.08976089265347e-07
7402,2263,132180,3.373338363657091e-06,9.08976089265347e-07
7443,2263,132180,3.373338363657091e-06,9.08976089265347e-07
7512,2263,132180,3.373338363657091e-06,9.08976089265347e-07
7800,2263,132180,3.373338363657091e-06,9.08976089265347e-07
2875,2263,132168,3.373338363657091e-06,9.088935676049507e-07
2910,2263,132168,3.373338363657091e-06,9.088935676049507e-07
2968,2263,132168,3.373338363657091e-06,9.088935676049507e-07
3017,2263,132168,3.373338363657091e-06,9.088935676049507e-07
3071,2263,132168,3.373338363657091e-06,9.088935676049507e-07
3322,2263,132168,3.373338363657091e-06,9.088935676049507e-07
3801,2263,132168,3.373338363657091e-06,9.088935676049507e-07
3827,2263,132168,3.373338363657091e-06,9.088935676049507e-07
3871,2263,132168,3.373338363657091e-06,9.088935676049507e-07
3889,2263,132168,3.373338363657091e-06,9.088935676049507e-07
3918,2263,132168,3.373338363657091e-06,9.088935676049507e-07
3971,2263,132168,3.373338363657091e-06,9.088935676049507e-07
3986,2263,132168,3.373338363657091e-06,9.088935676049507e-07
4006,2263,132168,3.373338363657091e-06,9.088935676049507e-07
4111,2263,132168,3.373338363657091e-06,9.088935676049507e-07
4279,2263,132168,3.373338363657091e-06,9.088935676049507e-07
4343,2263,132168,3.373338363657091e-06,9.088935676049507e-07
4550,2263,132168,3.373338363657091e-06,9.088935676049507e-07
4900,2263,132168,3.373338363657091e-06,9.088935676049507e-07
5054,2263,132168,3.373338363657091e-06,9.088935676049507e-07
5080,2263,132168,3.373338363657091e-06,9.088935676049507e-07
5087,2263,132168,3.373338363657091e-06,9.088935676049507e-07
5101,2263,132168,3.373338363657091e-06,9.088935676049507e-07
5120,2263,132168,3.373338363657091e-06,9.088935676049507e-07
5225,2263,132168,3.373338363657091e-06,9.088935676049507e-07
5280,2263,132168,3.373338363657091e-06,9.088935676049507e-07
5414,2263,132168,3.373338363657091e-06,9.088935676049507e-07
8008,2262,132132,3.3718477147999736e-06,9.086460026237617e-07
8031,2262,132132,3.3718477147999736e-06,9.086460026237617e-07
5510,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
5801,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
5810,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
5825,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
5850,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
5877,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
5900,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
5904,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
5911,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
5950,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
5963,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
5989,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
6000,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
6006,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
6100,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
6101,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
6106,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
6543,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
6565,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
6669,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
6692,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
6779,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
6969,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
7025,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
7103,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
7200,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
7435,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
7625,2262,132120,3.3718477147999736e-06,9.085634809633655e-07
2967,2262,132108,3.3718477147999736e-06,9.084809593029691e-07
2998,2262,132108,3.3718477147999736e-06,9.084809593029691e-07
3011,2262,132108,3.3718477147999736e-06,9.084809593029691e-07
3325,2262,132108,3.3718477147999736e-06,9.084809593029691e-07
3800,2262,132108,3.3718477147999736e-06,9.084809593029691e-07
3878,2262,132108,3.3718477147999736e-06,9.084809593029691e-07
4443,2262,132108,3.3718477147999736e-06,9.084809593029691e-07
4567,2262,132108,3.3718477147999736e-06,9.084809593029691e-07
